"Zipcode","ZipCodeType","City","State","Lat","Long","TaxReturnsFiled","EstimatedPopulation","TotalWages","averageWage"
"01604","STANDARD","WORCESTER","MA",42.26,-71.8,16668,26294,593553007," 22573.71"
"01605","STANDARD","WORCESTER","MA",42.26,-71.8,11163,18175,376578350," 20719.58"
"01606","STANDARD","WORCESTER","MA",42.26,-71.8,10145,16439,425117263," 25860.29"
"01607","STANDARD","WORCESTER","MA",42.26,-71.8,3827,6146,126734994," 20620.73"
"01608","STANDARD","WORCESTER","MA",42.26,-71.8,1601,2396,40674871," 16976.16"
"01609","STANDARD","WORCESTER","MA",42.26,-71.8,7490,11815,326051307," 27596.39"
"01610","STANDARD","WORCESTER","MA",42.26,-71.8,7853,12571,189128798," 15044.85"
"01611","STANDARD","CHERRY VALLEY","MA",42.23,-71.87,1047,1777,40897361," 23014.83"
"01612","STANDARD","PAXTON","MA",42.31,-71.93,2132,3934,118020759," 30000.19"
"01613","PO BOX","WORCESTER","MA",42.26,-71.8,709,1083,22023587," 20335.72"
"02093","STANDARD","WRENTHAM","MA",42.06,-71.33,5183,9499,365975278," 38527.77"
"02675","STANDARD","YARMOUTH PORT","MA",41.7,-70.22,3653,5862,122435703," 20886.34"
"02364","STANDARD","KINGSTON","MA",41.99,-70.71,5918,10556,316836000," 30014.78"
"02347","STANDARD","LAKEVILLE","MA",41.85,-70.95,5080,9319,279793730," 30024.01"
"04406","STANDARD","ABBOT","ME",45.18,-69.45,314,563,7932511," 14089.72"
"04001","STANDARD","ACTON","ME",43.53,-70.91,1090,1934,35436412," 18322.86"
"04606","STANDARD","ADDISON","ME",45.08,-67.46,517,907,9810043," 10815.92"
"04910","STANDARD","ALBION","ME",44.53,-69.44,934,1695,30070739," 17740.85"
"04002","STANDARD","ALFRED","ME",43.47,-70.71,3418,6087,125135783," 20557.87"
"04535","STANDARD","ALNA","ME",44.1,-69.6,377,660,11489800," 17408.79"
"04216","STANDARD","ANDOVER","ME",44.63,-70.75,325,560,7981807," 14253.23"
"04911","STANDARD","ANSON","ME",44.79,-69.88,875,1529,22383467," 14639.29"
"04732","STANDARD","ASHLAND","ME",46.63,-68.4,789,1375,21465911," 15611.57"
"04912","STANDARD","ATHENS","ME",44.92,-69.67,399,749,10332030," 13794.43"
"04210","STANDARD","AUBURN","ME",44.08,-70.24,10214,17123,356175520," 20801.00"
"04211","PO BOX","AUBURN","ME",44.08,-70.24,312,514,11483729," 22341.89"
"04212","PO BOX","AUBURN","ME",44.08,-70.24,333,517,8938427," 17289.03"
"04330","STANDARD","AUGUSTA","ME",44.33,-69.72,11840,19658,369684475," 18805.80"
"04332","PO BOX","AUGUSTA","ME",44.33,-69.72,458,714,13334620," 18675.94"
"04401","STANDARD","BANGOR","ME",44.83,-68.78,19545,32132,690255994," 21481.89"
"04402","PO BOX","BANGOR","ME",44.83,-68.78,940,1432,30317976," 21171.77"
"04609","STANDARD","BAR HARBOR","ME",44.38,-68.21,2415,3867,78456708," 20288.78"
"04004","PO BOX","BAR MILLS","ME",43.61,-70.54,295,503,10333767," 20544.27"
"04653","STANDARD","BASS HARBOR","ME",44.15,-68.43,288,473,7116735," 15045.95"
"04530","STANDARD","BATH","ME",43.93,-69.83,5545,9208,182046202," 19770.44"
"04915","STANDARD","BELFAST","ME",44.42,-69.02,4195,6997,111547103," 15942.13"
"04917","STANDARD","BELGRADE","ME",44.44,-69.83,1461,2621,56737602," 21647.31"
"03901","STANDARD","BERWICK","ME",43.26,-70.86,3425,6250,137620043," 22019.21"
"04217","STANDARD","BETHEL","ME",44.4,-70.79,1595,2781,45001237," 16181.67"
"04005","STANDARD","BIDDEFORD","ME",43.46,-70.44,10567,17466,346795892," 19855.48"
"04920","STANDARD","BINGHAM","ME",45.05,-69.87,705,1204,14763726," 12262.23"
"04734","PO BOX","BLAINE","ME",46.5,-67.86,296,553,7121251," 12877.49"
"04614","STANDARD","BLUE HILL","ME",44.41,-68.58,1435,2393,42313337," 17682.13"
"04537","STANDARD","BOOTHBAY","ME",43.87,-69.63,1090,1894,28187721," 14882.64"
"04538","STANDARD","BOOTHBAY HARBOR","ME",43.85,-69.62,1119,1709,25193744," 14741.80"
"04008","STANDARD","BOWDOINHAM","ME",44.01,-69.89,1503,2627,54773431," 20850.18"
"04410","STANDARD","BRADFORD","ME",45.06,-68.93,509,932,14678191," 15749.13"
"04411","STANDARD","BRADLEY","ME",44.92,-68.62,720,1240,21945876," 17698.29"
"04412","STANDARD","BREWER","ME",44.77,-68.73,4849,8103,168858912," 20839.06"
"04735","STANDARD","BRIDGEWATER","ME",46.42,-67.84,259,463,4632537," 10005.48"
"04009","STANDARD","BRIDGTON","ME",44.06,-70.72,2130,3643,63033114," 17302.53"
"04539","STANDARD","BRISTOL","ME",43.95,-69.5,525,909,13929514," 15324.00"
"04616","STANDARD","BROOKLIN","ME",44.26,-68.56,433,717,9018283," 12577.80"
"04921","STANDARD","BROOKS","ME",44.55,-69.12,700,1240,18603557," 15002.87"
"04617","STANDARD","BROOKSVILLE","ME",44.34,-68.68,411,698,8886610," 12731.53"
"04010","STANDARD","BROWNFIELD","ME",43.93,-70.9,661,1171,17412468," 14869.74"
"04414","STANDARD","BROWNVILLE","ME",45.3,-69.03,485,875,11818658," 13507.04"
"04011","STANDARD","BRUNSWICK","ME",43.91,-69.96,9902,16573,358823972," 21651.12"
"04219","STANDARD","BRYANT POND","ME",44.37,-70.64,634,1131,17460466," 15438.08"
"04220","STANDARD","BUCKFIELD","ME",44.28,-70.36,1400,2457,43905680," 17869.63"
"04416","STANDARD","BUCKSPORT","ME",44.6,-68.79,2655,4629,80351056," 17358.19"
"04922","STANDARD","BURNHAM","ME",44.69,-69.42,482,849,13010081," 15324.01"
"04619","STANDARD","CALAIS","ME",45.13,-67.2,1638,2726,48326554," 17728.01"
"04843","STANDARD","CAMDEN","ME",44.2,-69.06,2598,4295,83720877," 19492.64"
"04847","STANDARD","HOPE","ME",44.26,-69.15,700,1253,22500240," 17957.09"
"04924","STANDARD","CANAAN","ME",44.76,-69.56,937,1708,28596216," 16742.52"
"04221","STANDARD","CANTON","ME",44.44,-70.31,397,686,11465440," 16713.47"
"03902","STANDARD","CAPE NEDDICK","ME",43.17,-70.61,1216,2032,52127169," 25653.13"
"04418","STANDARD","GREENBUSH","ME",45.08,-68.59,697,1257,20240405," 16102.15"
"04736","STANDARD","CARIBOU","ME",46.86,-67.99,4498,7868,135591987," 17233.35"
"04419","STANDARD","CARMEL","ME",44.79,-69.05,1269,2343,43979594," 18770.63"
"04015","STANDARD","CASCO","ME",44,-70.52,1508,2620,51686158," 19727.54"
"04421","STANDARD","CASTINE","ME",44.38,-68.8,395,647,11549176," 17850.35"
"04422","STANDARD","CHARLESTON","ME",45.08,-69.04,490,928,15345590," 16536.20"
"04622","STANDARD","CHERRYFIELD","ME",44.6,-67.92,567,956,12582447," 13161.56"
"04927","STANDARD","CLINTON","ME",44.63,-69.5,1531,2755,46796039," 16985.86"
"04623","STANDARD","COLUMBIA FALLS","ME",44.65,-67.72,450,788,10859917," 13781.62"
"04928","STANDARD","CORINNA","ME",44.92,-69.26,910,1648,26420653," 16031.95"
"04020","STANDARD","CORNISH","ME",43.8,-70.8,691,1211,22479231," 18562.54"
"04021","STANDARD","CUMBERLAND CENTER","ME",43.8,-70.25,3022,5630,181519979," 32241.56"
"04563","STANDARD","CUSHING","ME",44.01,-69.24,646,1132,14872971," 13138.67"
"04543","STANDARD","DAMARISCOTTA","ME",44.03,-69.51,1234,1996,28687557," 14372.52"
"04424","STANDARD","DANFORTH","ME",45.66,-67.86,328,584,6897326," 11810.49"
"04627","STANDARD","DEER ISLE","ME",44.22,-68.67,756,1267,13571599," 10711.60"
"04022","STANDARD","DENMARK","ME",43.97,-70.8,512,913,16568392," 18147.20"
"04628","STANDARD","DENNYSVILLE","ME",44.9,-67.22,261,472,6159976," 13050.80"
"04929","STANDARD","DETROIT","ME",44.79,-69.29,385,687,10304478," 14999.24"
"04930","STANDARD","DEXTER","ME",45.01,-69.29,1778,3161,44036280," 13931.12"
"04224","STANDARD","DIXFIELD","ME",44.53,-70.45,1268,2314,41066542," 17746.99"
"04932","STANDARD","DIXMONT","ME",44.68,-69.16,556,994,19170243," 19285.96"
"04426","STANDARD","DOVER FOXCROFT","ME",45.21,-69.18,2043,3592,62059698," 17277.20"
"04481","PO BOX","SEBEC","ME",45.27,-69.11,267,475,5812112," 12236.03"
"04342","STANDARD","DRESDEN","ME",44.1,-69.72,796,1392,26918986," 19338.35"
"04739","STANDARD","EAGLE LAKE","ME",47.04,-68.59,439,737,11054467," 14999.28"
"04024","STANDARD","EAST BALDWIN","ME",43.88,-70.69,293,522,8523841," 16329.20"
"04544","STANDARD","EAST BOOTHBAY","ME",43.82,-69.59,426,702,10978278," 15638.57"
"04427","STANDARD","CORINTH","ME",44.98,-69.01,1242,2287,38246116," 16723.27"
"04428","STANDARD","EDDINGTON","ME",44.82,-68.69,1426,2514,47557054," 18916.89"
"04429","STANDARD","HOLDEN","ME",44.75,-68.67,2427,4302,104362764," 24259.13"
"04027","STANDARD","LEBANON","ME",43.39,-70.85,2651,4853,96901262," 19967.29"
"04630","STANDARD","EAST MACHIAS","ME",44.73,-67.39,715,1265,18677898," 14765.14"
"04430","STANDARD","EAST MILLINOCKET","ME",45.62,-68.57,771,1351,21839397," 16165.36"
"04740","STANDARD","EASTON","ME",46.64,-67.91,582,1028,18479407," 17976.08"
"04631","STANDARD","EASTPORT","ME",44.91,-67.01,602,991,12686897," 12802.12"
"04029","STANDARD","SEBAGO","ME",43.89,-70.64,815,1421,27836773," 19589.57"
"04030","STANDARD","EAST WATERBORO","ME",43.6,-70.69,976,1767,37707501," 21339.84"
"03903","STANDARD","ELIOT","ME",43.15,-70.8,3268,5703,144858467," 25400.40"
"04605","STANDARD","ELLSWORTH","ME",44.58,-68.49,6376,10831,199517606," 18420.98"
"04434","STANDARD","ETNA","ME",44.82,-69.11,549,1001,16422568," 16406.16"
"04435","STANDARD","EXETER","ME",44.97,-69.14,431,808,13260416," 16411.41"
"04937","STANDARD","FAIRFIELD","ME",44.59,-69.6,3020,5223,100363738," 19215.73"
"04938","STANDARD","FARMINGTON","ME",44.66,-70.14,3331,5726,102075114," 17826.60"
"04742","STANDARD","FORT FAIRFIELD","ME",46.76,-67.83,1557,2739,43943995," 16043.81"
"04743","STANDARD","FORT KENT","ME",47.26,-68.57,2055,3621,60544316," 16720.33"
"04438","STANDARD","FRANKFORT","ME",44.6,-68.87,497,913,13617671," 14915.30"
"04634","STANDARD","FRANKLIN","ME",44.58,-68.23,842,1427,22553966," 15805.16"
"04941","STANDARD","FREEDOM","ME",44.53,-69.29,735,1303,20049478," 15387.17"
"04032","STANDARD","FREEPORT","ME",43.85,-70.1,3691,6497,167402860," 25766.18"
"04547","STANDARD","FRIENDSHIP","ME",43.98,-69.33,541,940,9582395," 10194.04"
